,cik_str,ticker,title
10159,51253,IFFT,INTERNATIONAL FLAVORS & FRAGRANCES INC
10160,73124,NTRSO,NORTHERN TRUST CORP
10161,70858,BAC-PM,BANK OF AMERICA CORP /DE/
10162,72971,WFC-PA,WELLS FARGO & COMPANY/MN
10163,72971,WFC-PZ,WELLS FARGO & COMPANY/MN
10164,68622,CTAA,QWEST CORP
10165,68622,CTBB,QWEST CORP
10166,68622,CTDD,QWEST CORP
10167,68622,CTV,QWEST CORP
10168,68622,CTZ,QWEST CORP
10169,70858,BAC-PN,BANK OF AMERICA CORP /DE/
10170,70858,BAC-PO,BANK OF AMERICA CORP /DE/
10171,70858,BAC-PP,BANK OF AMERICA CORP /DE/
10172,70858,BAC-PA,BANK OF AMERICA CORP /DE/
10173,70858,MER-PK,BANK OF AMERICA CORP /DE/
10174,1091748,ARGD,"Argo Group International Holdings, Ltd."
10175,1091748,ARGO-PA,"Argo Group International Holdings, Ltd."
10176,1075415,DHCNI,DIVERSIFIED HEALTHCARE TRUST
10177,1075415,DHCNL,DIVERSIFIED HEALTHCARE TRUST
10178,1043219,NLY-PI,ANNALY CAPITAL MANAGEMENT INC
10179,1039828,AEL-PA,AMERICAN EQUITY INVESTMENT LIFE HOLDING CO
10180,1039828,AEL-PB,AMERICAN EQUITY INVESTMENT LIFE HOLDING CO
10181,1042046,AFGD,AMERICAN FINANCIAL GROUP INC
10182,1042046,AFGE,AMERICAN FINANCIAL GROUP INC
10183,1042046,AFGB,AMERICAN FINANCIAL GROUP INC
10184,1053092,AMJL,CREDIT SUISSE AG
10185,1053092,DGAZ,CREDIT SUISSE AG
10186,1053092,USLVF,CREDIT SUISSE AG
10187,1053092,USOI,CREDIT SUISSE AG
10188,1053092,VIIXF,CREDIT SUISSE AG
10189,1053092,ZIVZF,CREDIT SUISSE AG
10190,1053092,SLVO,CREDIT SUISSE AG
10191,1053092,TVIX,CREDIT SUISSE AG
10192,1053092,TVIXF,CREDIT SUISSE AG
10193,1053092,UGAZ,CREDIT SUISSE AG
10194,1053092,UGAZF,CREDIT SUISSE AG
10195,1053092,UGLDF,CREDIT SUISSE AG
